comp_id,bioactivity,data_split,smiles
CHEMBL132595,1,train,COC(=O)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12
CHEMBL132773,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCc1cccn1C
CHEMBL132839,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCc1ccccn1
CHEMBL132886,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)C(c1ccccc1)c1ccccc1)C(=O)C(=O)NCCCN1CCOCC1
CHEMBL133016,0,test,CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)c1nc2ncccc2o1
CHEMBL133106,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCCCCO
CHEMBL133107,1,train,Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@H](C#N)COCc2ccc(F)c(C(=O)O)c2)c1
CHEMBL133508,1,train,Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@H](C#N)COCc2ccccc2)c1
CHEMBL133634,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCCn1ccnc1
CHEMBL133638,0,train,Cc1cccc2oc(C(=O)C(C)NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)nc12
CHEMBL133728,1,test,Cc1cccc(C[C@H](Nc2ccc3c(c2)C(=O)N(C)C3=O)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
CHEMBL133744,1,train,Cc1cccc(C[C@H](Nc2cccc(S(C)(=O)=O)c2)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
CHEMBL133785,1,train,Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@H](C#N)COCc2ccc(C(=O)O)cc2)c1
CHEMBL133854,0,train,Cc1ccc2oc(C(=O)C(C)NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)nc2c1
CHEMBL134002,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCCN1CCOCC1
CHEMBL134083,1,train,Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
CHEMBL134121,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCO
CHEMBL134131,0,train,Cc1cccc2nc(C(=O)C(C)NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)oc12
CHEMBL134142,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccncc1
CHEMBL134167,0,train,CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)C(F)(F)C(F)(F)F
CHEMBL134173,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCc1ccc(OC)cc1
CHEMBL134179,1,train,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCC(O)c1ccccc1
CHEMBL134283,1,test,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCc1ccc2ccccc2n1
CHEMBL134494,1,train,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)CC(C)C
CHEMBL134508,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCCN1CCCC1
CHEMBL135471,1,train,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)NCC=O
CHEMBL136252,1,train,CC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12
CHEMBL138499,1,train,Cc1cccc(C[C@H](NC(=O)c2ccc(Cl)cc2F)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
CHEMBL138586,1,train,Cc1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)NCC#N)c1
CHEMBL138611,1,train,Cc1cc(CN)cc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
CHEMBL138661,1,train,Cc1cc(C)cc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
CHEMBL139132,1,train,N#CCNC(=O)[C@H](Cc1cccc(I)c1)NC(=O)C(c1ccccc1)c1ccccc1
CHEMBL139961,1,test,CC[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1N[C@H]1C(=O)O)C(=O)N[C@H](/C=C/C(=O)O)CCCN=C(N)N
CHEMBL140429,1,test,Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)N[C@H](C#N)CCOc2cccc(C(=O)O)c2)c1
CHEMBL140506,1,train,Cc1cccc(C[C@H](NC(=O)c2ccc(Cl)cc2F)C(=O)N[C@H](C#N)COCc2ccccc2)c1
CHEMBL140606,1,train,Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@H](C#N)COCc2ccccc2)c1
CHEMBL140756,1,train,Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
CHEMBL140794,0,test,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)Cc1ccccc1
CHEMBL140824,1,train,Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)NCC#N)c1
CHEMBL141530,0,train,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1
CHEMBL141793,1,test,CCCCC(=O)N[C@@H](Cc1cccc(C)c1)C(=O)N[C@H](C#N)COCc1cccc(C(=O)O)c1
CHEMBL142118,1,train,Cc1cccc(C[C@H](NC(=O)c2ccc(Cl)cc2F)C(=O)NCC#N)c1
CHEMBL1454910,0,train,O=[N+]([O-])c1ccc(O)c2ncccc12
CHEMBL160000,1,train,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)(C)C
CHEMBL161038,1,test,CC(C)(C)SCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1
CHEMBL161651,1,train,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
CHEMBL161817,1,train,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
CHEMBL162474,1,test,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1
CHEMBL163790,1,test,Cc1ccc(S(=O)(=O)N2CCCCC2C(=O)NC(C=O)Cc2ccccc2)cc1
CHEMBL1651240,1,train,CN(C#N)N(C)C(=O)CNC(=O)OCc1ccccc1
CHEMBL1651241,1,train,C[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
CHEMBL1651242,1,train,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
CHEMBL1651349,1,validation,Cc1nc(-c2ccc(NC(=O)N[C@@H](CC(C)C)C(=O)N(C)N(C)C#N)cc2)no1
CHEMBL1651350,1,train,CC(C)C[C@H](NC(=O)Nc1ccc(-c2noc(-c3cccs3)n2)cc1)C(=O)N(C)N(C)C#N
CHEMBL1651351,1,train,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
CHEMBL1651352,1,test,CN(C#N)N(C)C(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1
CHEMBL1651353,1,train,CN(C#N)N(C)C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1
CHEMBL1651354,1,train,CC(C)C[C@H](NC(=O)NCc1ccccc1)C(=O)N(C)N(C)C#N
CHEMBL1651355,1,train,CC(C)C[C@H](NC(=O)Nc1ccccc1)C(=O)N(C)N(C)C#N
CHEMBL1651356,1,validation,Cc1nc(-c2ccc(CNC(=O)N[C@@H](CC(C)C)C(=O)N(C)N(C)C#N)cc2)no1
CHEMBL1651357,1,train,CC(C)C[C@H](NC(=O)NCc1ccc(-c2noc(-c3cccs3)n2)cc1)C(=O)N(C)N(C)C#N
CHEMBL1651360,0,train,CC(C)C[C@@H](C(=O)NCC#N)N(C)C(=O)c1ccc(-c2noc(-c3cccs3)n2)cc1
CHEMBL1651361,1,train,CC(C)C[C@H](NC(=O)c1ccc(-c2noc(-c3cccs3)n2)cc1)C(=O)N(C)N(C)C#N
